120
1. 0.5 0. 0. 250.  1000. 0.
2. 0.5 0. 0. 250.  1000. 0.
3. 0.5 0. 0. 250.  1000. 0.
4. 0.5 0. 0. 250.  1000. 0.
5. 0.5 0. 0. 250.  1000. 0.
1.25 1.0 0. 0. 250.  1000. 0.
2.25 1.0 0. 0. 250.  1000. 0.
3.25 1.0 0. 0. 250.  1000. 0.
4.25 1.0 0. 0. 250.  1000. 0.
5.25 1.0 0. 0. 250.  1000. 0.
1. 1.5 0. 0. 250.  1000. 0.
2. 1.5 0. 0. 250.  1000. 0.
3. 1.5 0. 0. 250.  1000. 0.
4. 1.5 0. 0. 250.  1000. 0.
5. 1.5 0. 0. 250.  1000. 0.
1.25 2.0 0. 0. 250.  1000. 0.
2.25 2.0 0. 0. 250.  1000. 0.
3.25 2.0 0. 0. 250.  1000. 0.
4.25 2.0 0. 0. 250.  1000. 0.
5.25 2.0 0. 0. 250.  1000. 0.
1. 2.5 0. 0. 250.  1000. 0.
2. 2.5 0. 0. 250.  1000. 0.
3. 2.5 0. 0. 250.  1000. 0.
4. 2.5 0. 0. 250.  1000. 0.
5. 2.5 0. 0. 250.  1000. 0.
1.25 3.0 0. 0. 250.  1000. 0.
2.25 3.0 0. 0. 250.  1000. 0.
3.25 3.0 0. 0. 250.  1000. 0.
4.25 3.0 0. 0. 250.  1000. 0.
5.25 3.0 0. 0. 250.  1000. 0.
1.5 0.5 0. 0. 250.  1000. 0.
2.5 0.5 0. 0. 250.  1000. 0.
3.5 0.5 0. 0. 250.  1000. 0.
4.5 0.5 0. 0. 250.  1000. 0.
0.5 0.5 0. 0. 250.  1000. 0.
1.75 1.0 0. 0. 250.  1000. 0.
2.75 1.0 0. 0. 250.  1000. 0.
3.75 1.0 0. 0. 250.  1000. 0.
4.75 1.0 0. 0. 250.  1000. 0.
0.75 1.0 0. 0. 250.  1000. 0.
1.5 1.5 0. 0. 250.  1000. 0.
2.5 1.5 0. 0. 250.  1000. 0.
3.5 1.5 0. 0. 250.  1000. 0.
4.5 1.5 0. 0. 250.  1000. 0.
0.5 1.5 0. 0. 250.  1000. 0.
1.75 2.0 0. 0. 250.  1000. 0.
2.75 2.0 0. 0. 250.  1000. 0.
3.75 2.0 0. 0. 250.  1000. 0.
4.75 2.0 0. 0. 250.  1000. 0.
0.75 2.0 0. 0. 250.  1000. 0.
1.5 2.5 0. 0. 250.  1000. 0.
2.5 2.5 0. 0. 250.  1000. 0.
3.5 2.5 0. 0. 250.  1000. 0.
4.5 2.5 0. 0. 250.  1000. 0.
0.5 2.5 0. 0. 250.  1000. 0.
1.75 3.0 0. 0. 250.  1000. 0.
2.75 3.0 0. 0. 250.  1000. 0.
3.75 3.0 0. 0. 250.  1000. 0.
4.75 3.0 0. 0. 250.  1000. 0.
0.75 3.0 0. 0. 250.  1000. 0.

1. 3.5 0. 0. 250.  1000. 0.
2. 3.5 0. 0. 250.  1000. 0.
3. 3.5 0. 0. 250.  1000. 0.
4. 3.5 0. 0. 250.  1000. 0.
5. 3.5 0. 0. 250.  1000. 0.
1.25 4.0 0. 0. 250.  1000. 0.
2.25 4.0 0. 0. 250.  1000. 0.
3.25 4.0 0. 0. 250.  1000. 0.
4.25 4.0 0. 0. 250.  1000. 0.
5.25 4.0 0. 0. 250.  1000. 0.
1. 4.5 0. 0. 250.  1000. 0.
2. 4.5 0. 0. 250.  1000. 0.
3. 4.5 0. 0. 250.  1000. 0.
4. 4.5 0. 0. 250.  1000. 0.
5. 4.5 0. 0. 250.  1000. 0.
1.25 5.0 0. 0. 250.  1000. 0.
2.25 5.0 0. 0. 250.  1000. 0.
3.25 5.0 0. 0. 250.  1000. 0.
4.25 5.0 0. 0. 250.  1000. 0.
5.25 5.0 0. 0. 250.  1000. 0.
1. 5.5 0. 0. 250.  1000. 0.
2. 5.5 0. 0. 250.  1000. 0.
3. 5.5 0. 0. 250.  1000. 0.
4. 5.5 0. 0. 250.  1000. 0.
5. 5.5 0. 0. 250.  1000. 0.
1.25 6.0 0. 0. 250.  1000. 0.
2.25 6.0 0. 0. 250.  1000. 0.
3.25 6.0 0. 0. 250.  1000. 0.
4.25 6.0 0. 0. 250.  1000. 0.
5.25 6.0 0. 0. 250.  1000. 0.
1.5 3.5 0. 0. 250.  1000. 0.
2.5 3.5 0. 0. 250.  1000. 0.
3.5 3.5 0. 0. 250.  1000. 0.
4.5 3.5 0. 0. 250.  1000. 0.
0.5 3.5 0. 0. 250.  1000. 0.
1.75 4.0 0. 0. 250.  1000. 0.
2.75 4.0 0. 0. 250.  1000. 0.
3.75 4.0 0. 0. 250.  1000. 0.
4.75 4.0 0. 0. 250.  1000. 0.
0.75 4.0 0. 0. 250.  1000. 0.
1.5 4.5 0. 0. 250.  1000. 0.
2.5 4.5 0. 0. 250.  1000. 0.
3.5 4.5 0. 0. 250.  1000. 0.
4.5 4.5 0. 0. 250.  1000. 0.
0.5 4.5 0. 0. 250.  1000. 0.
1.75 5.0 0. 0. 250.  1000. 0.
2.75 5.0 0. 0. 250.  1000. 0.
3.75 5.0 0. 0. 250.  1000. 0.
4.75 5.0 0. 0. 250.  1000. 0.
0.75 5.0 0. 0. 250.  1000. 0.
1.5 5.5 0. 0. 250.  1000. 0.
2.5 5.5 0. 0. 250.  1000. 0.
3.5 5.5 0. 0. 250.  1000. 0.
4.5 5.5 0. 0. 250.  1000. 0.
0.5 5.5 0. 0. 250.  1000. 0.
1.75 6.0 0. 0. 250.  1000. 0.
2.75 6.0 0. 0. 250.  1000. 0.
3.75 6.0 0. 0. 250.  1000. 0.
4.75 6.0 0. 0. 250.  1000. 0.
0.75 6.0 0. 0. 250.  1000. 0.
