61
0   10  0   0   10 10 0
0   9.5 0   0   10 10 0
0   9   0   0   10 10 0
0   8.5 0   0   10 10 0
0   8   0   0   10 10 0
0   7.5 0   0   10 10 0
0   7   0   0   10 10 0
0   6.5 0   0   10 10 0
0   6   0   0   10 10 0
0   5.5 0   0   10 10 0
0   5   0   0   10 10 0
0   4.5 0   0   10 10 0
0   4   0   0   10 10 0
0   3.5 0   0   10 10 0
0   3   0   0   10 10 0
0   2.5 0   0   10 10 0
0   2   0   0   10 10 0
0   1.5 0   0   10 10 0
0   1   0   0   10 10 0
0   0.5 0   0   10 10 0
0   0   0   0   10 10 0
0.5 0   0   0   10 10 0
1   0   0   0   10 10 0
1.5 0   0   0   10 10 0
2   0   0   0   10 10 0
2.5 0   0   0   10 10 0
3   0   0   0   10 10 0
3.5 0   0   0   10 10 0
4   0   0   0   10 10 0
4.5 0   0   0   10 10 0
5   0   0   0   10 10 0
5.5 0   0   0   10 10 0
6   0   0   0   10 10 0
6.5 0   0   0   10 10 0
7   0   0   0   10 10 0
7.5 0   0   0   10 10 0
8   0   0   0   10 10 0
8.5 0   0   0   10 10 0
9   0   0   0   10 10 0
9.5 0   0   0   10 10 0
10  0   0   0   10 10 0
10  0.5 0   0   10 10 0
10  1   0   0   10 10 0
10  1.5 0   0   10 10 0
10  2   0   0   10 10 0
10  2.5 0   0   10 10 0
10  3   0   0   10 10 0
10  3.5 0   0   10 10 0
10  4   0   0   10 10 0
10  4.5 0   0   10 10 0
10  5   0   0   10 10 0
10  5.5 0   0   10 10 0
10  6   0   0   10 10 0
10  6.5 0   0   10 10 0
10  7   0   0   10 10 0
10  7.5 0   0   10 10 0
10  8   0   0   10 10 0
10  8.5 0   0   10 10 0
10  9   0   0   10 10 0
10  9.5 0   0   10 10 0
10  10  0   0   10 10 0
